Age,NumberOfPeople
0 anni,6378
1 anni,6657
2 anni,7057
3 anni,7251
4 anni,7631
5 anni,7811
6 anni,7935
7 anni,8349
8 anni,8363
9 anni,8587
10 anni,8768
11 anni,8766
12 anni,8717
13 anni,8793
14 anni,8466
15 anni,8504
16 anni,8371
17 anni,8273
18 anni,8162
19 anni,8474
20 anni,8174
21 anni,8468
22 anni,8338
23 anni,8241
24 anni,8223
25 anni,8163
26 anni,8116
27 anni,8402
28 anni,8753
29 anni,8792
30 anni,8894
31 anni,9173
32 anni,9113
33 anni,9212
34 anni,9630
35 anni,9797
36 anni,10067
37 anni,10619
38 anni,10585
39 anni,11118
40 anni,11466
41 anni,12020
42 anni,12484
43 anni,13098
44 anni,14175
45 anni,14564
46 anni,14417
47 anni,14581
48 anni,14705
49 anni,14533
50 anni,14900
51 anni,14851
52 anni,14680
53 anni,14990
54 anni,14809
55 anni,14789
56 anni,13675
57 anni,12858
58 anni,12413
59 anni,11997
60 anni,11658
61 anni,10947
62 anni,10855
63 anni,10726
64 anni,10306
65 anni,10162
66 anni,9827
67 anni,9717
68 anni,9600
69 anni,9818
70 anni,9722
71 anni,10129
72 anni,9546
73 anni,9930
74 anni,7359
75 anni,7631
76 anni,7425
77 anni,7656
78 anni,7713
79 anni,8174
80 anni,8041
81 anni,7425
82 anni,6397
83 anni,5711
84 anni,5501
85 anni,4725
86 anni,4310
87 anni,3814
88 anni,3370
89 anni,2969
90 anni,2386
91 anni,1925
92 anni,1517
93 anni,1124
94 anni,889
95 anni,669
96 anni,453
97 anni,332
98 anni,250
99 anni,154
100 anni e più,134
totale,870193
