,LO,PV,SO,MN,MI,CO,BS,MB,LC,CR,BG,VA
0,0,0,0,1,0,1,2,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,1,2,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,1,0,0,0,0
11,0,0,0,0,0,0,1,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,1,1,0
13,0,0,0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,1,0,0,0,0,0,1,0
15,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,1,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,1,0
19,1,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,1,0
22,0,0,0,0,0,0,0,0,0,0,0,0
23,3,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0
26,2,0,0,0,0,0,0,0,0,0,0,0
27,1,0,0,0,0,0,0,0,0,1,0,0
28,0,0,0,0,0,0,0,0,0,1,1,0
29,0,0,0,0,0,0,2,0,0,1,1,0
30,0,0,0,0,0,0,1,0,0,2,0,0
31,4,0,0,1,4,1,4,0,0,1,1,1
32,1,2,0,1,2,0,2,1,0,2,3,0
33,1,0,0,0,0,0,2,1,0,0,4,1
34,1,1,0,0,0,0,1,0,0,1,4,0
35,0,2,0,0,1,0,8,0,0,1,6,0
36,3,0,0,0,0,0,2,0,0,1,5,0
37,2,1,0,0,1,0,0,0,0,0,0,0
38,4,0,0,0,0,0,2,0,0,0,2,0
39,1,0,0,0,1,0,2,0,1,0,3,0
40,5,0,0,0,1,1,6,0,0,2,11,0
41,0,1,0,0,4,0,1,0,0,1,2,0
42,4,0,0,0,8,0,1,1,0,3,5,0
43,5,1,0,1,2,0,0,0,0,6,8,2
44,13,2,1,1,3,1,3,1,0,4,7,1
45,12,3,0,0,9,1,13,1,0,5,16,0
46,12,3,0,1,6,1,7,0,1,6,8,0
47,28,2,0,1,10,0,8,0,1,7,20,0
48,32,4,1,3,8,0,7,2,0,16,15,0
49,23,3,1,4,6,0,10,3,0,9,11,0
50,46,5,0,4,33,6,26,3,3,32,59,3
51,32,8,1,2,9,2,20,2,0,29,49,1
52,52,8,0,2,16,1,25,3,0,39,46,2
53,64,14,1,4,25,1,31,5,5,35,72,6
54,50,13,2,6,45,0,62,9,4,32,86,3
55,66,15,1,2,63,7,66,8,5,57,123,3
56,63,14,1,6,53,1,64,12,5,56,91,4
57,41,27,1,3,61,5,79,17,7,51,115,9
58,43,26,4,8,78,10,106,15,9,63,172,12
59,53,22,0,9,78,8,123,16,10,68,137,8
60,76,63,3,22,197,19,253,26,14,104,298,24
61,65,38,7,21,126,16,200,22,14,97,242,8
62,45,48,5,21,155,11,215,32,23,105,270,17
63,41,33,4,19,167,9,186,23,32,91,180,9
64,48,51,4,32,189,16,243,51,42,88,235,20
65,39,60,3,29,242,26,289,43,35,103,265,28
66,45,36,8,41,251,32,264,66,55,95,234,19
67,50,62,6,34,269,42,324,58,49,82,255,28
68,77,67,18,40,334,31,352,75,47,102,241,36
69,90,116,14,62,507,61,480,95,72,153,459,39
70,59,68,15,41,270,38,256,72,70,72,243,33
71,60,66,21,41,343,33,302,75,79,99,255,35
72,42,61,20,46,379,59,308,65,65,71,245,33
73,41,53,28,42,341,54,225,79,49,92,235,42
74,40,50,24,33,322,54,293,94,66,81,256,63
75,36,58,31,67,359,57,283,88,57,80,189,44
76,33,34,31,58,251,43,196,84,65,72,154,20
77,37,43,14,25,281,51,184,70,39,66,170,28
78,40,41,17,15,288,26,151,67,52,51,106,33
79,41,47,22,38,399,54,186,81,50,61,164,42
80,15,31,23,13,217,30,89,78,10,30,59,19
81,11,30,18,9,201,37,73,90,72,26,80,19
82,17,30,15,18,171,29,91,64,55,23,63,21
83,11,6,6,8,137,27,72,28,30,27,56,24
84,8,13,8,20,163,16,50,49,27,34,31,16
85,10,4,12,7,81,17,37,22,29,20,11,15
86,7,10,5,12,68,10,26,5,1,14,12,11
87,5,3,2,4,45,7,19,2,3,10,6,8
88,3,4,2,0,24,2,7,10,0,4,2,4
89,5,1,1,4,34,0,7,2,0,13,2,7
90,4,1,0,3,12,0,8,0,0,0,0,0
91,1,0,0,0,1,0,0,0,0,0,0,0
